Type, Insertions, Time
BST, 5000, 0.000334
BST, 10000, 0.000007
BST, 15000, 0.000004
BST, 20000, 0.000005
BST, 25000, 0.000003
BST, 30000, 0.000004
BST, 35000, 0.000005
BST, 40000, 0.000006
BST, 45000, 0.000003
BST, 50000, 0.000004
AVL, 5000, 0.000229
AVL, 10000, 0.000003
AVL, 15000, 0.000003
AVL, 20000, 0.000006
AVL, 25000, 0.000004
AVL, 30000, 0.000004
AVL, 35000, 0.000004
AVL, 40000, 0.000004
AVL, 45000, 0.000004
AVL, 50000, 0.000004
TREAP, 5000, 0.000027
TREAP, 10000, 0.000014
TREAP, 15000, 0.000012
TREAP, 20000, 0.000009
TREAP, 25000, 0.000011
TREAP, 30000, 0.000015
TREAP, 35000, 0.000011
TREAP, 40000, 0.000015
TREAP, 45000, 0.000015
TREAP, 50000, 0.000012
SKIP, 5000, 0.000256
SKIP, 10000, 0.000010
SKIP, 15000, 0.000011
SKIP, 20000, 0.000013
SKIP, 25000, 0.000014
SKIP, 30000, 0.000015
SKIP, 35000, 0.000011
SKIP, 40000, 0.000018
SKIP, 45000, 0.000016
SKIP, 50000, 0.000020
